,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Result
0,100T,0.4696969696969697,26.272727272727273,0.73,0.16641263966714573,0.14363636363636365,0.19727272727272727,0.4354545454545455,0.5727272727272728,0.7716826923076923,0.20454545454545456,0.47750000000000004,0.9314219114219114,0.05878787875757574,0.0,0.9813942307692308,0.9536363636363636,0.0,0.45454545454545453
1,2G,0.4523809523809524,20.142857142857142,0.6714285714285715,0.12835282996573313,0.17857142857142858,0.02,0.39142857142857146,0.4257142857142857,0.6653571428571429,0.12285714285714287,0.3714285714285714,0.6823809523809523,0.033809523809523796,0.0,0.8471428571428571,0.8571428571428571,0.0,0.14285714285714285
2,C9,0.5416666666666667,25.6,0.7070000000000001,0.20540394702303072,0.083,0.025,0.479,0.5850000000000001,0.8048173076923076,0.23174999999999998,0.5199999999999999,0.9278205128205128,0.04633333329999998,0.0085,0.9363557692307692,0.749,0.0,0.4
3,EG,0.5,23.545454545454547,0.6936363636363636,0.19585478739894951,0.25727272727272726,0.2927272727272727,0.4936363636363636,0.5509090909090909,0.7310008741258741,0.23909090909090908,0.5438636363636363,0.8668764568764569,0.0996969696363636,0.0,0.8904851398601399,0.8472727272727273,0.0,0.5454545454545454
4,FUR,0.2708333333333333,19.5,0.6637500000000001,0.13306831666518595,0.14500000000000002,0.03125,0.4175,0.47125,0.6543749999999999,0.17812499999999998,0.4353125,0.8845833333333333,0.03624999999999999,0.0075,0.979375,0.75,0.0,0.125
5,G2,0.5529761904761904,33.92857142857143,0.7464285714285713,0.21372959193396282,0.023571428571428573,0.31999999999999995,0.6,0.6378571428571428,0.8108344780219781,0.3048214285714286,0.5591071428571428,0.9500366300366301,0.07642857140476189,0.0,0.9295638736263737,0.8678571428571429,0.0,0.9285714285714286
6,KRU,0.5416666666666666,24.75,0.7266666666666667,0.19617143394154887,0.08333333333333333,0.375,0.5658333333333333,0.5558333333333333,0.7923477564102565,0.29375,0.5492361110833334,0.949017094017094,0.13138888888888886,0.0,0.7802964743589743,0.7216666666666667,0.0,0.5833333333333334
7,LEV,0.4583333333333333,21.5,0.7175,0.17147986680575417,0.04125,0.1925,0.465,0.5325,0.77875,0.2475,0.49416666666666664,0.93875,0.08458333333333332,0.020625,0.9375,0.625,0.0,0.25
8,LOUD,0.5185185185185186,29.333333333333332,0.6988888888888889,0.13703481026135486,0.08333333333333333,0.17555555555555558,0.48888888888888893,0.5444444444444445,0.7783333333333333,0.2233333333333333,0.4536111111111111,0.9225925925925925,0.038148148148148125,0.007777777777777778,1.0,1.0,0.0,0.2222222222222222
9,MIBR,0.5444444444444444,29.666666666666668,0.7260000000000001,0.16630598117347142,0.222,0.26266666666666666,0.5433333333333333,0.5793333333333333,0.772423076923077,0.26316666666666666,0.5487222222444444,0.929982905982906,0.0991111111111111,0.014333333333333333,0.9484743589743589,0.7986666666666667,0.0,0.6666666666666666
10,NRG,0.5277777777777778,24.88888888888889,0.7266666666666667,0.10684571734473323,0.0,0.09444444444444444,0.54,0.44999999999999996,0.646426282051282,0.1525,0.38638888888888884,0.8774928774928775,0.05185185185185182,0.0,0.9740865384615385,0.87,0.0,0.3333333333333333
11,SEN,0.506547619047619,30.642857142857142,0.7378571428571429,0.16761711367686002,0.16999999999999998,0.24714285714285714,0.5021428571428571,0.6071428571428571,0.7881318681318682,0.2692857142857143,0.5228571428571429,0.9206959706959708,0.12142857140476189,0.0,0.9769368131868132,0.88,0.0,0.7142857142857143
